"","Player","Team","Position","GP","TOI","Goals","Assists","FirstAssists","SecondAssists","Points","IPP","Shots","SH","ixG","iCF","iFF","iSCF","iHDCF","Rush","Rebounds","PIM","Penalties","Minor","Major","Misconduct","PenaltiesDrawn","Giveaways","Takeaways","Hits","HitsTaken","Blocked","FaceoffsWon","FaceoffsLost","Faceoffs"
"436","Connor McDavid","EDM","C","72","1638.6166666667","60","78","53","25","138","82.14","314","19.11","39.79","471","394","337","144","15","30","30","15","15","0","0","42","73","69","78","102","38","454","430","51.36"
"365","Leon Draisaitl","EDM","C","70","1543.4666666667","44","66","52","14","110","69.62","218","20.18","27.73","369","305","226","87","6","33","22","11","11","0","0","21","87","68","54","123","36","697","580","54.58"
"206","Nikita Kucherov","T.B","R","74","1497.95","28","74","45","29","102","77.86","246","11.38","27","499","363","296","104","58","47","32","16","16","0","0","35","84","51","55","99","27","1","0","100.00"
"515","Matthew Tkachuk","FLA","L","70","1435.5333333333","35","62","34","28","97","70.29","283","12.37","40.36","473","373","317","178","15","61","92","31","26","2","3","33","55","33","51","61","29","13","15","46.43"
"382","David Pastrnak","BOS","R","72","1416.5833333333","49","46","26","20","95","77.24","343","14.29","34.66","634","459","323","99","18","44","32","15","15","0","0","28","99","46","81","119","30","6","9","40.00"
"332","Nathan MacKinnon","COL","C","60","1335.8166666667","31","62","36","26","93","75.61","310","10.00","26.69","526","402","279","79","14","31","30","15","15","0","0","27","34","37","47","60","32","445","556","44.46"
"475","Mitchell Marner","TOR","R","72","1534.15","28","65","36","29","93","76.23","175","16.00","17.48","361","235","176","51","10","29","24","12","12","0","0","17","82","96","50","105","42","0","4","0.00"
"630","Elias Pettersson","VAN","C","70","1432.2666666667","33","58","34","24","91","74.59","226","14.60","26.75","436","333","248","91","8","32","10","5","5","0","0","32","43","54","57","77","78","380","491","43.63"
"637","Jason Robertson","DAL","L","73","1382.4833333333","41","50","34","16","91","74.59","280","14.64","29.99","512","372","283","100","6","51","20","10","10","0","0","8","59","57","50","74","15","0","1","0.00"
"75","Erik Karlsson","S.J","D","73","1880.25","22","68","40","28","90","67.16","195","11.28","11.87","465","267","191","30","58","42","32","12","11","0","1","13","90","71","31","92","75","0","1","0.00"
"569","Tage Thompson","BUF","C, R","72","1344.6666666667","44","45","26","19","89","73.55","269","16.36","27.84","498","373","278","113","15","37","35","16","15","1","0","21","37","40","49","82","24","342","449","43.24"
"207","Ryan Nugent0Hopkins","EDM","C","72","1433.4166666667","33","55","24","31","88","60.69","178","18.54","24.99","289","234","206","88","8","20","33","14","13","1","0","10","29","48","41","60","25","297","361","45.14"
"794","Jack Hughes","N.J","C","69","1384.1833333333","40","46","28","18","86","78.18","310","12.90","33.69","499","381","307","104","44","36","4","2","2","0","0","21","77","55","11","100","24","136","257","34.61"
"17","Sidney Crosby","PIT","C","72","1444.1","31","54","32","22","85","75.89","219","14.16","28.16","384","298","236","125","21","41","50","17","15","0","2","21","55","52","68","76","38","851","743","53.39"
"445","Mikko Rantanen","COL","R","71","1580.7666666667","47","38","29","9","85","65.89","261","18.01","28.92","465","361","252","95","12","31","64","28","27","0","1","26","38","52","73","119","38","183","205","47.16"
"395","Brayden Point","T.B","C","74","1458.9166666667","45","38","18","20","83","63.85","211","21.33","31.8","351","286","307","176","34","31","7","2","1","1","0","16","40","47","31","89","34","393","375","51.17"
"488","Artemi Panarin","NYR","L","73","1442.7166666667","24","58","33","25","82","75.93","178","13.48","18.05","382","270","191","41","9","29","30","15","15","0","0","14","96","30","24","41","10","3","10","23.08"
"368","William Nylander","TOR","R","72","1338.9166666667","36","45","27","18","81","68.07","251","14.34","29.98","442","347","274","120","18","29","24","12","12","0","0","14","33","60","15","86","25","25","34","42.37"
"842","Tim Stützle","OTT","L","69","1449.0666666667","35","46","28","18","81","72.32","199","17.59","25.67","374","276","240","99","12","28","46","23","23","0","0","29","54","54","101","129","46","179","262","40.59"
"211","Mika Zibanejad","NYR","C","73","1475.3833333333","37","42","25","17","79","76.70","233","15.88","27.8","407","342","213","82","14","24","18","9","9","0","0","21","59","46","64","66","43","613","636","49.08"
"533","Clayton Keller","ARI","R","73","1504.6666666667","35","44","33","11","79","78.22","190","18.42","20.23","326","260","191","63","9","25","41","15","13","1","1","22","50","49","15","63","30","21","39","35.00"
"159","Zach Hyman","EDM","L","69","1417.2","30","45","25","20","75","51.02","248","12.10","40.1","389","331","330","211","10","40","37","17","16","1","0","23","30","31","66","144","18","6","6","50.00"
"432","Kyle Connor","WPG","L","74","1524.4166666667","28","47","30","17","75","69.44","251","11.16","27.74","452","345","293","113","14","38","18","9","9","0","0","9","37","38","41","65","21","2","5","28.57"
