"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CFp","FF","FA","FF%","SF","SA","SFp","GF","GA","GFp","xGF","xGA","xGFp","SCF","SCA","SCFp","HDCF","HDCA","HDCFp","HDGF","HDGA","HDGFp","HDSH%","HDSV%","SHp","SVp","PDO","conference","division","abrev"
"1","San Jose Sharks","72","3485.1","19","38","15","18","53","0.368","3273","3354","49.39","2389","2462","49.25","1697","1755","49.16","148","190","43.79","165.93","152.48","52.11","1857","1740","51.63","828","680","54.91","81","93","46.55","14.84","79.87","8.72","89.17","0.979","West","Pacific","S.J"
"2","Nashville Predators","70","3328.4","36","26","8","31","80","0.571","3164","3346","48.60","2301","2483","48.10","1608","1762","47.72","131","128","50.58","149.37","158.4","48.53","1634","1734","48.52","671","699","48.98","75","71","51.37","16.63","85.39","8.15","92.74","1.009","West","Central","NSH"
"3","Tampa Bay Lightning","73","3490.35","42","25","6","39","90","0.616","3402","3173","51.74","2541","2383","51.60","1784","1750","50.48","155","144","51.84","166.73","151.39","52.41","1909","1648","53.67","834","677","55.20","96","68","58.54","17.42","86.23","8.69","91.77","1.005","East","Atlantic","T.B"
"4","New York Rangers","72","3508.95","42","20","10","38","94","0.653","3213","3217","49.97","2376","2348","50.30","1714","1693","50.31","156","135","53.61","147.06","151.88","49.19","1635","1677","49.37","673","715","48.49","85","70","54.84","18.85","85.80","9.10","92.03","1.011","East","Metropolitan","NYR"
"5","Vegas Golden Knights","72","3618.05","45","21","6","41","96","0.667","3404","3628","48.41","2482","2548","49.34","1817","1807","50.14","163","143","53.27","158.87","154.16","50.75","1681","1766","48.77","736","662","52.65","92","74","55.42","17.33","84.05","8.97","92.09","1.011","West","Pacific","VGK"
"6","Los Angeles Kings","71","3392.0833","41","20","10","35","92","0.648","3353","3047","52.39","2511","2146","53.92","1813","1480","55.06","154","142","52.03","155.59","135.6","53.43","1757","1559","52.99","747","627","54.37","82","77","51.57","15.62","81.31","8.49","90.41","0.989","West","Pacific","L.A"
"7","Boston Bruins","71","3343.8333","55","11","5","53","115","0.810","3154","3058","50.77","2386","2247","51.50","1763","1615","52.19","178","96","64.96","153.51","134.83","53.24","1737","1548","52.88","719","617","53.82","96","50","65.75","18.22","88.53","10.10","94.06","1.042","East","Atlantic","BOS"
"8","Washington Capitals","73","3532.8167","34","31","8","32","76","0.521","3452","3356","50.71","2514","2487","50.27","1803","1754","50.69","157","160","49.53","158.43","155.56","50.46","1704","1673","50.46","712","696","50.57","90","85","51.43","17.96","82.07","8.71","90.88","0.996","East","Metropolitan","WSH"
"9","Columbus Blue Jackets","70","3440.0667","22","41","7","21","51","0.364","3117","3717","45.61","2278","2735","45.44","1626","1973","45.18","126","189","40.00","138.75","167.18","45.35","1498","1823","45.11","585","746","43.95","58","99","36.94","14.29","80.74","7.75","90.42","0.982","East","Metropolitan","CBJ"
"10","Carolina Hurricanes","70","3354.6167","46","16","8","42","100","0.714","3779","2460","60.57","2831","1887","60.00","1912","1366","58.33","151","117","56.34","177.51","117.37","60.20","1842","1213","60.29","823","574","58.91","89","64","58.17","15.89","84.04","7.90","91.43","0.993","East","Metropolitan","CAR"
